Net Status Report
Filename     : D:\PAY_IFB\hw\HW\PAY_IFB\1_PAY_IFB_V1\01_DESIGN\PAY_IFB\PAY_IFP_V1.PcbDoc
Date         : 09-Jan-26
Time         : 11:08:17 AM
Time Elapsed : 00:00:01

Nets, Layer, Length
    NetD6_4, Signal Layers Only, 0mm
    NetJ10_1, Signal Layers Only, 0mm
    NetJ10_2, Signal Layers Only, 0mm
    NetJ10_3, Signal Layers Only, 0mm
    NetJ10_4, Signal Layers Only, 0mm
    NetJ13_P9, Signal Layers Only, 0mm
    NetJ15_11, Signal Layers Only, 0mm
    NetJ15_13, Signal Layers Only, 0mm
    NetJ15_15, Signal Layers Only, 0mm
    NetJ15_3, Signal Layers Only, 0mm
    NetJ15_5, Signal Layers Only, 0mm
    NetJ15_7, Signal Layers Only, 0mm
    NetJ15_9, Signal Layers Only, 0mm
    NetJ1_7, Signal Layers Only, 0mm
    NetJ1_8, Signal Layers Only, 0mm
    NetJ1_9, Signal Layers Only, 0mm
    NetJ6_06, Signal Layers Only, 0mm
    NetJ6_40, Signal Layers Only, 0mm
    NetL2_1, Signal Layers Only, 0mm
    NetL3_1, Signal Layers Only, 0mm
    NetL4_1, Signal Layers Only, 0mm
    NetL5_1, Signal Layers Only, 0mm
    NetQ1_1, Signal Layers Only, 0mm
    NetQ1_2, Signal Layers Only, 0mm
    NetQ1_3, Signal Layers Only, 0mm
    NetQ3_2, Signal Layers Only, 0mm
    NetQ4_2, Signal Layers Only, 0mm
    NetQ5_1, Signal Layers Only, 0mm
    NetQ5_3, Signal Layers Only, 0mm
    NetQ6_1, Signal Layers Only, 0mm
    NetQ6_3, Signal Layers Only, 0mm
    NetQ7_1, Signal Layers Only, 0mm
    NetQ7_3, Signal Layers Only, 0mm
    NetR101_2, Signal Layers Only, 0mm
    NetR102_2, Signal Layers Only, 0mm
    NetR104_2, Signal Layers Only, 0mm
    NetR10_1, Signal Layers Only, 0mm
    NetR111_2, Signal Layers Only, 0mm
    NetR118_2, Signal Layers Only, 0mm
    NetR12_2, Signal Layers Only, 0mm
    NetR133_2, Signal Layers Only, 0mm
    NetR134_2, Signal Layers Only, 0mm
    NetR136_1, Signal Layers Only, 0mm
    NetR139_2, Signal Layers Only, 0mm
    NetR15_2, Signal Layers Only, 0mm
    NetR16_1, Signal Layers Only, 0mm
    NetR16_2, Signal Layers Only, 0mm
    NetR179_1, Signal Layers Only, 0mm
    NetR180_1, Signal Layers Only, 0mm
    NetR181_1, Signal Layers Only, 0mm
    NetR184_2, Signal Layers Only, 0mm
    NetR185_1, Signal Layers Only, 0mm
    NetR186_1, Signal Layers Only, 0mm
    NetR187_1, Signal Layers Only, 0mm
    NetR188_1, Signal Layers Only, 0mm
    NetR189_1, Signal Layers Only, 0mm
    NetR196_1, Signal Layers Only, 0mm
    NetR19_1, Signal Layers Only, 0mm
    NetR20_1, Signal Layers Only, 0mm
    NetR21_1, Signal Layers Only, 0mm
    NetR22_1, Signal Layers Only, 0mm
    NetR23_1, Signal Layers Only, 0mm
    NetR24_1, Signal Layers Only, 0mm
    NetR25_1, Signal Layers Only, 0mm
    NetR31_1, Signal Layers Only, 0mm
    NetR32_2, Signal Layers Only, 0mm
    NetR33_2, Signal Layers Only, 0mm
    NetR34_2, Signal Layers Only, 0mm
    NetR35_2, Signal Layers Only, 0mm
    NetR36_2, Signal Layers Only, 0mm
    NetR37_2, Signal Layers Only, 0mm
    NetR39_2, Signal Layers Only, 0mm
    NetR40_2, Signal Layers Only, 0mm
    NetR42_2, Signal Layers Only, 0mm
    NetR43_2, Signal Layers Only, 0mm
    NetR44_2, Signal Layers Only, 0mm
    NetR46_2, Signal Layers Only, 0mm
    NetR47_2, Signal Layers Only, 0mm
    NetR49_2, Signal Layers Only, 0mm
    NetR50_2, Signal Layers Only, 0mm
    NetR52_2, Signal Layers Only, 0mm
    NetR55_2, Signal Layers Only, 0mm
    NetR57_2, Signal Layers Only, 0mm
    NetR59_2, Signal Layers Only, 0mm
    NetR5_2, Signal Layers Only, 0mm
    NetR60_2, Signal Layers Only, 0mm
    NetR75_2, Signal Layers Only, 0mm
    NetR76_2, Signal Layers Only, 0mm
    NetR78_2, Signal Layers Only, 0mm
    NetR80_2, Signal Layers Only, 0mm
    NetR81_2, Signal Layers Only, 0mm
    NetR83_2, Signal Layers Only, 0mm
    NetR84_2, Signal Layers Only, 0mm
    NetR87_2, Signal Layers Only, 0mm
    NetTP4_0, Signal Layers Only, 0mm
    PA0, Signal Layers Only, 0mm
    PA1, Signal Layers Only, 0mm
    PA10, Signal Layers Only, 0mm
    PA11, Signal Layers Only, 0mm
    PA12, Signal Layers Only, 0mm
    PA13, Signal Layers Only, 0mm
    PA14, Signal Layers Only, 0mm
    PA15, Signal Layers Only, 0mm
    PA16, Signal Layers Only, 0mm
    PA17, Signal Layers Only, 0mm
    PA18, Signal Layers Only, 0mm
    PA19, Signal Layers Only, 0mm
    PA2, Signal Layers Only, 0mm
    PA20, Signal Layers Only, 0mm
    PA21, Signal Layers Only, 0mm
    PA23, Signal Layers Only, 0mm
    PA24, Signal Layers Only, 0mm
    PA28, Signal Layers Only, 0mm
    PA3, Signal Layers Only, 0mm
    PA30, Signal Layers Only, 0mm
    PA4, Signal Layers Only, 0mm
    PA5, Signal Layers Only, 0mm
    PA6, Signal Layers Only, 0mm
    PA7, Signal Layers Only, 0mm
    PA8, Signal Layers Only, 0mm
    PA9, Signal Layers Only, 0mm
    PAC1934_TWCK, Signal Layers Only, 0mm
    PAC1934_TWD, Signal Layers Only, 0mm
    PB1, Signal Layers Only, 0mm
    PB10, Signal Layers Only, 0mm
    PB11, Signal Layers Only, 0mm
    PB12, Signal Layers Only, 0mm
    PB13, Signal Layers Only, 0mm
    PB15, Signal Layers Only, 0mm
    PB21, Signal Layers Only, 0mm
    PB22, Signal Layers Only, 0mm
    PB23, Signal Layers Only, 0mm
    PB24, Signal Layers Only, 0mm
    PB25, Signal Layers Only, 0mm
    PB26, Signal Layers Only, 0mm
    PB27, Signal Layers Only, 0mm
    PB30, Signal Layers Only, 0mm
    PB31, Signal Layers Only, 0mm
    PB6, Signal Layers Only, 0mm
    PB7, Signal Layers Only, 0mm
    PB8, Signal Layers Only, 0mm
    PB9, Signal Layers Only, 0mm
    PC10, Signal Layers Only, 0mm
    PC11, Signal Layers Only, 0mm
    PC12, Signal Layers Only, 0mm
    PC13, Signal Layers Only, 0mm
    PC14, Signal Layers Only, 0mm
    PC17, Signal Layers Only, 0mm
    PC2, Signal Layers Only, 0mm
    PC22, Signal Layers Only, 0mm
    PC23, Signal Layers Only, 0mm
    PC24, Signal Layers Only, 0mm
    PC25, Signal Layers Only, 0mm
    PC26, Signal Layers Only, 0mm
    PC27, Signal Layers Only, 0mm
    PC28, Signal Layers Only, 0mm
    PC29, Signal Layers Only, 0mm
    PC3, Signal Layers Only, 0mm
    PC30, Signal Layers Only, 0mm
    PC31, Signal Layers Only, 0mm
    PC4, Signal Layers Only, 0mm
    PD0, Signal Layers Only, 0mm
    PD10, Signal Layers Only, 0mm
    PD11, Signal Layers Only, 0mm
    PD16, Signal Layers Only, 0mm
    PD17, Signal Layers Only, 0mm
    PD2, Signal Layers Only, 0mm
    PD3, Signal Layers Only, 0mm
    PD6, Signal Layers Only, 0mm
    PD7, Signal Layers Only, 0mm
    PD8, Signal Layers Only, 0mm
    PD9, Signal Layers Only, 0mm
    PE12, Signal Layers Only, 0mm
    PE13, Signal Layers Only, 0mm
    PE4, Signal Layers Only, 0mm
    PE5, Signal Layers Only, 0mm
    PIOBU0, Signal Layers Only, 0mm
    PIOBU1, Signal Layers Only, 0mm
    RS_422_RX_N, Signal Layers Only, 0mm
    RS_422_RX_P, Signal Layers Only, 0mm
    RS_422_TX_N, Signal Layers Only, 0mm
    RS_422_TX_P, Signal Layers Only, 0mm
    SENSE1_N, Signal Layers Only, 0mm
    SENSE1_P, Signal Layers Only, 0mm
    SENSE2_N, Signal Layers Only, 0mm
    SENSE2_P, Signal Layers Only, 0mm
    SENSE3_N, Signal Layers Only, 0mm
    SENSE3_P, Signal Layers Only, 0mm
    SENSE4_N, Signal Layers Only, 0mm
    SENSE4_P, Signal Layers Only, 0mm
    STX_12V, Signal Layers Only, 0mm
    STX_GPIO, Signal Layers Only, 0mm
    STX_RS485_N, Signal Layers Only, 0mm
    STX_RS485_P, Signal Layers Only, 0mm
    USBB_N, Signal Layers Only, 0mm
    USBB_P, Signal Layers Only, 0mm
    VBUS_FTDI, Signal Layers Only, 0mm
    VDDBU, Signal Layers Only, 0mm
    VDDCORE, Signal Layers Only, 0mm
    VDDCPU, Signal Layers Only, 0mm
    VDDIODDR, Signal Layers Only, 0mm
    VDDOUT25, Signal Layers Only, 0mm
    VDD_3V3_FTDI, Signal Layers Only, 0mm
    VLDO1, Signal Layers Only, 0mm
    VLDO2, Signal Layers Only, 0mm
    VUSB, Signal Layers Only, 0mm
    XIN24M, Signal Layers Only, 0mm
    XIN32K, Signal Layers Only, 0mm
    XOUT24M, Signal Layers Only, 0mm
    XOUT32K, Signal Layers Only, 0mm
count : 340
